Date,Open,High,Low,Close,Volume
2004-08-19 00:00:00-04:00,2.487832874716412,2.5888388796182187,2.387325312677345,2.496292352676392,897427216
2004-08-20 00:00:00-04:00,2.5129603915964225,2.713728802026051,2.5002728412323254,2.694572687149048,458857488
2004-08-23 00:00:00-04:00,2.7552756555326527,2.8231934421375184,2.712982787426448,2.7216899394989014,366857939
2004-08-24 00:00:00-04:00,2.767465730255956,2.7764215076843994,2.576648800951401,2.6089909076690674,306396159
2004-08-25 00:00:00-04:00,2.6112295378375268,2.686860443613109,2.58436101437157,2.637103080749512,184645512
2004-08-26 00:00:00-04:00,2.6109808601710767,2.6856160762824084,2.603766178975244,2.6846210956573486,142572401
2004-08-27 00:00:00-04:00,2.689347611180405,2.7022847396380585,2.6293908651402718,2.6408348083496094,124826132
2004-08-30 00:00:00-04:00,2.6191903860334924,2.62441558200315,2.537838935852051,2.537838935852051,104429967
2004-08-31 00:00:00-04:00,2.545053794469027,2.580131740875289,2.541570648101954,2.546794891357422,98825037
2004-09-01 00:00:00-04:00,2.555004615830097,2.561721806371778,2.4796232871574944,2.49405288696289,183633734
2004-09-02 00:00:00-04:00,2.467681763535487,2.546794861855637,2.461461825359541,2.525399208068848,303810504
2004-09-03 00:00:00-04:00,2.5114682630717,2.5311218690545023,2.4709162536643854,2.488081693649292,103538639
2004-09-07 00:00:00-04:00,2.5129603587153246,2.5375902953497675,2.4781310377449035,2.527141094207764,117506800
2004-09-08 00:00:00-04:00,2.5062430468105776,2.5632153319449427,2.5002729249784013,2.5450539588928223,100186120
2004-09-09 00:00:00-04:00,2.5507752603079945,2.55525314902545,2.5127116582504323,2.545302391052246,81620792
2004-09-10 00:00:00-04:00,2.527638651147594,2.6510352966090074,2.520175105954754,2.6204349994659424,174804764
2004-09-13 00:00:00-04:00,2.652776314752945,2.6970598561496173,2.648547051985193,2.6744205951690674,157628624
2004-09-14 00:00:00-04:00,2.6731769407890638,2.7863732436699022,2.656756665850845,2.7736856937408447,217608605
2004-09-15 00:00:00-04:00,2.7505490743555163,2.841852237360284,2.741592343826969,2.786373376846313,215279909
2004-09-16 00:00:00-04:00,2.794831645374493,2.880910564302035,2.777666205987304,2.835383415222168,186207345
2004-09-17 00:00:00-04:00,2.846578726897328,2.9229557514190674,2.824934446027258,2.9229557514190674,190350817
2004-09-20 00:00:00-04:00,2.909521142755383,3.0252053782165853,2.905043253809907,2.969477891921997,213585582
2004-09-21 00:00:00-04:00,2.980673091642422,2.995848807425214,2.923453136729875,2.9316627979278564,145262446
2004-09-22 00:00:00-04:00,2.920716373148348,2.977189974122106,2.906037909350549,2.945096492767334,152344894
2004-09-23 00:00:00-04:00,2.9565418008766287,3.050830384188126,2.9112623238994697,3.005800724029541,171524515
2004-09-24 00:00:00-04:00,3.008785056505105,3.08740066735557,2.979429557366649,2.981170654296875,183336625
2004-09-27 00:00:00-04:00,2.974453364222171,3.0072929639320165,2.930668263248589,2.94211220741272,141994242
2004-09-28 00:00:00-04:00,3.0177419715862315,3.1694991304127256,2.9906248219972285,3.1560654640197754,340190355
2004-09-29 00:00:00-04:00,3.1520850895955035,3.359072482328668,3.140392281865009,3.261052131652832,613229953
2004-09-30 00:00:00-04:00,3.2316955034969,3.2914036262102604,3.209304868174048,3.2242319583892822,276468402
2004-10-01 00:00:00-04:00,3.254085866187292,3.339667531650923,3.2068166682907866,3.298369646072388,303934969
2004-10-04 00:00:00-04:00,3.364795073391539,3.405097265329246,3.3344426875139,3.360067367553711,261693228
2004-10-05 00:00:00-04:00,3.350116853856475,3.446395159316881,3.289911239314984,3.4424147605896,300887589
2004-10-06 00:00:00-04:00,3.4220149974419694,3.4444053949201283,3.383453902875329,3.4103221893310547,268900140
2004-10-07 00:00:00-04:00,3.406341830165688,3.4799811117717194,3.3971362352906285,3.4543561935424805,283643194
2004-10-08 00:00:00-04:00,3.4511228671038827,3.475005735776161,3.4088290468113867,3.426492929458618,222442656
2004-10-11 00:00:00-04:00,3.408331487571946,3.4546059438056216,3.3299647397776835,3.3650436401367188,210437827
2004-10-12 00:00:00-04:00,3.3446429907794712,3.4235072294555597,3.318769446777793,3.418283224105835,234419380
2004-10-13 00:00:00-04:00,3.565562401041173,3.571285087267883,3.484957305781259,3.505357027053833,397203256
2004-10-14 00:00:00-04:00,3.508093964900675,3.54217717095396,3.447142472025721,3.532722949981689,209835578
2004-10-15 00:00:00-04:00,3.605616957886933,3.619797931691105,3.531479235499958,3.5852162837982178,265150137
